sample_id,hour,timestamp_iso,led_source,temp_c,hum_pct,MQ-137 (Ammonia),MQ-135 (Air Quality),MQ-4 (Methane),MQ-3 (Alcohol),AS7265X_ch1,AS7265X_ch2,AS7265X_ch3,AS7265X_ch4,AS7265X_ch5,AS7265X_ch6,AS7265X_ch7,AS7265X_ch8,AS7265X_ch9,AS7265X_ch10,AS7265X_ch11,AS7265X_ch12,AS7265X_ch13,AS7265X_ch14,AS7265X_ch15,AS7265X_ch16,AS7265X_ch17,AS7265X_ch18,final_label
THI_RT_01,6,2025-11-12T13:40:58.524345,WHITE,31.3,76.5,1.394,0.156,0.485,0.682,3.385845422744751,71.03106689453125,104.14868927001953,36.197669982910156,56.89736557006836,69.01425170898438,77.3266372680664,89.29715728759766,214.48648071289062,53.300148010253906,62.97742462158203,17.080842971801758,12.871682167053223,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:42:19.008811,WHITE,31.3,74.6,1.385,0.155,0.367,0.64,2.539384126663208,36.9361572265625,56.723838806152344,17.657400131225586,30.637042999267578,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.711325645446777,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:42:32.301420,WHITE,31.3,74.9,1.43,0.156,0.367,0.652,3.385845422744751,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.711325645446777,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:42:45.591269,WHITE,31.3,75.4,1.466,0.156,0.367,0.665,2.539384126663208,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.711325645446777,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:42:58.886104,WHITE,31.3,75.4,1.461,0.156,0.366,0.646,2.539384126663208,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.711325645446777,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:43:12.192707,WHITE,31.3,75.4,1.473,0.157,0.362,0.648,3.385845422744751,35.98907470703125,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.711325645446777,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:43:27.462205,WHITE,31.3,75.3,1.439,0.156,0.362,0.664,3.385845422744751,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,47.491172790527344,12.314096450805664,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:43:40.758266,WHITE,31.4,75.4,1.447,0.157,0.353,0.655,3.385845422744751,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.711325645446777,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:43:54.043363,WHITE,31.4,75.4,1.46,0.156,0.349,0.655,2.539384126663208,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.711325645446777,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:44:07.317015,WHITE,31.4,75.3,1.444,0.156,0.347,0.651,3.385845422744751,35.98907470703125,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.314096450805664,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:44:20.600178,WHITE,31.4,75.5,1.473,0.156,0.348,0.658,3.385845422744751,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.314096450805664,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:44:35.892131,WHITE,31.4,75.5,1.473,0.157,0.347,0.65,2.539384126663208,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,47.491172790527344,12.711325645446777,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:44:49.204566,WHITE,31.4,75.5,1.469,0.158,0.347,0.642,3.385845422744751,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.711325645446777,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:45:02.500031,WHITE,31.4,75.7,1.51,0.158,0.348,0.652,2.539384126663208,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.314096450805664,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:45:15.780998,WHITE,31.4,75.5,1.545,0.158,0.349,0.721,3.385845422744751,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.711325645446777,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
THI_RT_02,6,2025-11-12T13:45:29.112766,WHITE,31.4,75.2,1.625,0.159,0.35,0.836,3.385845422744751,36.9361572265625,57.65373611450195,17.657400131225586,29.907588958740234,34.84878158569336,29.625141143798828,35.71886444091797,113.6895523071289,32.149295806884766,45.42634201049805,12.711325645446777,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:46:47.555099,WHITE,31.4,74.8,1.672,0.161,0.354,1.031,3.385845422744751,41.67155838012695,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,215.65853881835938,55.838253021240234,83.62576293945312,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:47:00.875395,WHITE,31.4,75.4,1.674,0.162,0.353,1.024,3.385845422744751,41.67155838012695,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,215.65853881835938,55.838253021240234,80.52851104736328,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:47:14.170423,WHITE,31.5,76.1,1.667,0.161,0.353,1.014,3.385845422744751,41.67155838012695,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,215.65853881835938,55.838253021240234,80.52851104736328,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:47:27.476206,WHITE,31.5,76.2,1.658,0.161,0.353,1.014,3.385845422744751,42.6186408996582,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,214.48648071289062,55.41523361206055,80.52851104736328,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:47:40.773041,WHITE,31.5,76.2,1.649,0.161,0.352,1.01,3.385845422744751,42.6186408996582,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,214.48648071289062,55.838253021240234,79.49609375,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:47:56.078002,WHITE,31.5,76.2,1.641,0.161,0.352,1.008,3.385845422744751,42.6186408996582,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,214.48648071289062,55.41523361206055,80.52851104736328,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:48:09.409411,WHITE,31.5,76.6,1.637,0.162,0.352,1.008,3.385845422744751,42.6186408996582,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,214.48648071289062,55.41523361206055,80.52851104736328,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:48:22.716787,WHITE,31.5,76.7,1.627,0.16,0.352,0.997,3.385845422744751,42.6186408996582,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,214.48648071289062,55.838253021240234,80.52851104736328,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:48:35.976679,WHITE,31.5,76.6,1.631,0.161,0.352,0.997,3.385845422744751,42.6186408996582,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,214.48648071289062,55.41523361206055,80.52851104736328,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:48:49.262621,WHITE,31.5,76.7,1.629,0.162,0.352,0.998,3.385845422744751,42.6186408996582,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,214.48648071289062,55.41523361206055,80.52851104736328,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:49:04.564939,WHITE,31.6,76.6,1.621,0.161,0.352,1.0,3.385845422744751,42.6186408996582,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,214.48648071289062,55.838253021240234,80.52851104736328,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:49:17.868945,WHITE,31.6,76.4,1.615,0.161,0.351,0.994,3.385845422744751,42.6186408996582,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,214.48648071289062,55.838253021240234,80.52851104736328,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:49:31.141235,WHITE,31.6,76.5,1.621,0.162,0.352,0.996,3.385845422744751,42.6186408996582,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,214.48648071289062,55.41523361206055,83.62576293945312,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
BRE_RT_01,6,2025-11-12T13:49:44.447953,WHITE,31.6,76.3,1.612,0.161,0.351,0.994,3.385845422744751,42.6186408996582,74.39192199707031,26.486099243164062,40.119937896728516,56.714683532714844,56.73967742919922,69.08779907226562,214.48648071289062,55.41523361206055,80.52851104736328,19.861446380615234,13.676162719726562,8.308847427368164,8.85634994506836,5.626819610595703,1.2172613143920898,1.8044984340667725,N/A
