sample_id,meat_type,storage_type,hour,timestamp_iso,temp_c,hum_pct,frozen_age_days,thaw_method,time_since_thaw_min,mq137_v_rs,mq135_v_rs,mq4_v_rs,mq3_v_rs,as_raw_ch1,as_raw_ch2,as_raw_ch3,as_raw_ch4,as_raw_ch5,as_raw_ch6,as_raw_ch7,as_raw_ch8,as_raw_ch9,as_raw_ch10,as_raw_ch11,as_raw_ch12,as_raw_ch13,as_raw_ch14,as_raw_ch15,as_raw_ch16,as_raw_ch17,as_raw_ch18,avg_valid,cv_flag,final_label,ground_truth_value
NaN,Wing,NaN,0,2025-11-17T12:46:51.999901,35,67.3,NaN,NaN,NaN,1.59,0.169,0.272,0.777,3.385845423,43.56572342,104.1486893,23.83748817,38.66102982,56.03137207,45.69301224,64.38794708,173.4644775,53.30014801,58.84775925,13.10855484,11.26272202,6.647078037,6.199444771,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T12:47:00.807006,35,67.1,NaN,NaN,NaN,1.589,0.169,0.272,0.776,3.385845423,43.56572342,103.2187881,23.83748817,38.66102982,56.03137207,45.69301224,64.38794708,173.4644775,53.30014801,61.94501114,13.10855484,11.26272202,6.647078037,6.199444771,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T12:47:09.617028,35,66.9,NaN,NaN,NaN,1.583,0.169,0.272,0.775,3.385845423,43.56572342,103.2187881,23.83748817,38.66102982,56.03137207,45.69301224,64.38794708,173.4644775,53.30014801,61.94501114,13.10855484,11.26272202,6.647078037,6.199444771,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T12:47:18.398014,35,67.3,NaN,NaN,NaN,1.579,0.168,0.272,0.78,3.385845423,43.56572342,104.1486893,23.83748817,38.66102982,56.03137207,45.69301224,64.38794708,173.4644775,53.30014801,58.84775925,13.10855484,11.26272202,6.647078037,6.199444771,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T12:47:27.184232,35,67.3,NaN,NaN,NaN,1.578,0.169,0.272,0.782,3.385845423,43.56572342,103.2187881,23.83748817,38.66102982,56.03137207,45.19089127,64.38794708,173.4644775,53.30014801,59.88017654,13.10855484,11.26272202,6.647078037,6.199444771,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T12:47:35.997816,35,67.4,NaN,NaN,NaN,1.575,0.168,0.272,0.779,3.385845423,43.56572342,104.1486893,23.83748817,38.66102982,56.03137207,45.69301224,64.38794708,173.4644775,53.30014801,61.94501114,13.10855484,11.26272202,6.647078037,6.199444771,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T12:47:44.792258,35,67.1,NaN,NaN,NaN,1.572,0.168,0.272,0.777,3.385845423,43.56572342,103.2187881,23.83748817,38.66102982,56.03137207,45.69301224,64.38794708,173.4644775,53.30014801,61.94501114,13.10855484,11.26272202,6.647078037,6.199444771,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T12:47:53.583792,35,67,NaN,NaN,NaN,1.572,0.169,0.272,0.778,3.385845423,43.56572342,104.1486893,23.83748817,38.66102982,56.03137207,45.69301224,64.38794708,173.4644775,53.30014801,58.84775925,13.10855484,11.26272202,6.647078037,6.199444771,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T12:48:02.367364,35,67,NaN,NaN,NaN,1.569,0.168,0.272,0.777,3.385845423,43.56572342,103.2187881,23.83748817,38.66102982,56.03137207,45.69301224,64.38794708,173.4644775,53.30014801,61.94501114,13.10855484,11.26272202,6.647078037,6.199444771,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T12:48:11.179635,35,67,NaN,NaN,NaN,1.568,0.168,0.271,0.783,3.385845423,43.56572342,103.2187881,23.83748817,38.66102982,56.03137207,45.69301224,64.38794708,173.4644775,53.30014801,57.81534195,13.10855484,11.26272202,6.647078037,6.199444771,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
